"playerNr","groupNr","subjectNr","period","check","prolificID","orderEnvs1","orderEnvs2","orderEnvs3","counter1","counter2","counter3","orderRounds","thisRound","treatment","gemPresent","socialInfo","points","refreshTaskCount","clickedCells","totalPoints","thisEnv","consent","rnd_decI","counterEnv1ng","qR1","qR2","qR3","newvar","goal","strategy","general","partA","remarks","age","gender","time_check","time_welcome","time_consent","time_i1","time_i2","time_i3","time_i4","time_i5","time_i6","time_i7","time_i8","time_i9","time_i10","time_iend","time_quiz","time_play.(old)","time_play","time_break","time_Questionnaire","time_end","time_376482","file_nr"
1,0,0,1,"esuoh",0,NA,NA,NA,NA,NA,NA,"1899,343,921,1244,1639,1625,2195,254,1650,332,376,1912",1899,0,0,"8,57,64,1,37,36,28,29,43,44,35,52,45,45,45,48,31,31,36,36,36,36,36,36,36","9,-48,33,11,44,43,44,17,43,12,20,34,40,36,4,-4,-6,52,49,50,49,51,49,48,50",1,"12,19,38,38,38,38,38,38,38,38,38,38,38,38,38,38,28,29,29,29,29,29,29,29,29",730,5,0,3,0,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,49,15,16,74,28,11,15,13,8,19,12,14,8,298,35,NA,NA,NA,NA,NA,NA,1
1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,NA,1,"28,64,40,41,13,8,40,40,40,40,40,40,25,51,44,58,57,57,57,57,57,57,57,57,58","-22,-38,-4,-15,-8,25,15,31,26,18,34,31,9,-3,51,49,56,52,254,250,265,263,252,242,246",NA,"27,37,62,7,3,11,11,11,11,11,11,11,11,11,25,25,25,25,58,58,58,58,58,58,58",2079,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,921,NA,0,"61,27,31,38,39,47,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11","30,33,-37,38,47,28,34,47,51,33,51,26,21,40,39,45,34,33,53,25,49,51,49,50,51",NA,"50,50,28,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,12,12,2,2,2,2,2",921,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1244,NA,1,"27,4,39,49,49,49,49,49,49,49,49,49,14,17,53,7,53,53,53,49,49,49,49,49,49","17,31,20,19,23,31,27,43,31,-49,-8,24,24,39,-6,26,44,27,31,26,33,25,28,50,46",NA,"39,27,4,27,49,49,49,49,49,60,44,49,49,49,14,17,53,53,53,53,53,53,53,49,49",602,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1639,NA,1,"16,41,5,9,9,9,9,9,9,16,16,16,16,16,16,45,20,1,7,16,16,39,60,35,16","4,56,62,43,38,43,37,42,44,61,41,51,39,58,42,58,38,51,52,45,56,61,57,44,37",NA,"30,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27",1160,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1625,NA,1,"11,34,54,44,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20","26,22,246,267,271,253,265,250,245,258,254,260,265,269,246,268,257,263,251,271,264,243,248,255,245",NA,"29,27,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21",5962,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA,0,"64,57,8,8,8,21,21,21,21,21,21,21,18,18,18,18,18,21,21,21,21,21,21,21,21","-1,-20,55,14,48,20,45,45,56,54,45,29,19,36,31,28,22,31,49,22,36,55,48,13,40",NA,"28,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42",820,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1
1,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,0,"31,29,44,44,44,44,47,47,6,19,19,19,19,44,44,44,44,44,44,44,44,44,44,44,44","-20,-21,-16,42,0,21,3,37,35,34,36,36,37,38,36,35,34,37,35,34,36,37,34,36,34",NA,"38,34,32,60,60,60,60,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58",650,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1650,NA,1,"22,35,37,52,19,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34","49,51,49,49,49,51,50,50,51,49,49,50,51,49,51,50,49,48,49,51,48,48,52,48,51",NA,"35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35",1242,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,NA,1,"28,14,10,10,10,10,10,10,53,30,43,26,26,12,63,63,63,63,63,63,63,63,63,63,63","23,-16,-8,50,40,26,17,17,16,37,34,13,28,49,55,49,54,43,19,21,31,35,35,53,32",NA,"28,12,44,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46",753,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
